1,"P'tits Ménés","Montréal,Gatineau,Sherbrooke",
2,"Trillium Carnage","Ottawa",
3,"Turbo Fluo","Québec,Sherbrooke,Montréal",
4,"Les Outs","Québec",
5,"Legends","Québec",
6,"Padawan","Trois-Rivières,Montréal,Sherbrooke",
7,"Bergers","Montréal,Sherbrooke,Gatineau",
8,"Sugar Mammies","Montréal",
9,"Chainsaw","Québec,Trois-Rivières,Ottawa",
10,"International","Montréal",
11,"KGB","Québec",
12,"Rejected","Montréal",
13,"Rookies","Québec",
14,"Caribou","Sherbrooke",
15,"Mess around","Montréal",
16,"Captain Morgan","Québec,Montréal,Trois-Rivières,Rimouski",
17,"Sweet Dreams","Trois-Rivières","esprit sportif"
18,"Diskover","Trois-Rivières",
19,"Chiefs","Montréal",
20,"Wasabi","Montréal",
21,"Sales-Add","Québec",
22,"Commando","Sherbrooke",
24,"Nostalgia","Montréal",
24,"Gushmu","Québec",
25,"Ons'Kasse","Montréal,Sherbrooke",
26,"Kraken","Sherbrooke",
27,"Voodoo","Trois-Rivières,Sherbrooke",
28,"Mon équipe","Sherbrooke",
29,"Tux","Québec",
30,"Oktopus","Sherbrooke",
31,"Squeezy Lemons","St-Jean-sur-Richelieu",
32,"Ta mère","Saguenay,Québec",
33,"Trick or Treat","Québec",
34,"Absolute","Montréal,Sherbrooke",
35,"AuRéoLeS","Montréal",
36,"FantasDisc 4","Sherbrooke,Québec",
37,"Ani's chicks","Montréal",
38,"Double zebras","Trois-Rivières,Québec",
39,"Morues","Gaspé",
40,"Moby disk","Montréal",
41,"Piranhas","Sherbrooke",
42,"Cocktail","Québec",
43,"Dirty spikes","Québec",
44,"Pick-ups","Trois-Rivières",
45,"CPX","Québec",
46,"Wannabus","Montréal",
47,"Disklock","Trois-Rivières",
48,"DisTrakFUL","Repentigny",
49,"Nordet","Rimouski",
50,"Booms","Sherbrooke",
51,"Grues d’acajou","Saguenay",
52,"Medu","Montréal",
