1,"Tux","Québec,Trois-Rivières",
2,"Squeezy Lemons","St-Jean-sur-Richelieu",
3,"Voodoo","Sherbrooke,Trois-Rivières",
4,"Mon équipe","Sherbrooke",
5,"Sunrise","Québec",
6,"FantasDisc 4","Sherbrooke,Québec",
7,"DisTrakFUL","Repentigny",
8,"Wernesgruner","Saguenay-Lac-St-Jean,Québec,Sherbrooke",
9,"Citrons pressés","St-Jean-sur-Richelieu",
10,"Morues","Gaspé",
11,"Piranhas","Sherbrooke",
12,"Disklock","Trois-Rivières",
13,"Saïmiris","St-Jean-sur-Richelieu",
14,"Team You-Hou","St-Jean-sur-Richelieu",
15,"Booms","Sherbrooke,Montréal,Saguenay","esprit sportif"
16,"Bretzels","Montréal",
