1,"Ninjax","Montréal,Trois-Rivières,Saguenay",
2,"Padawan","Montréal,Sherbrooke,Trois-Rivières",
3,"KGB","Québec",
4,"Commando","Sherbrooke",
5,"Tux","Québec,Trois-Rivières",
6,"Sweet Dreams","Trois-Rivières",
7,"Absolute","Sherbrooke,Montréal",
8,"Lemon Drop","Québec",
9,"Captain Morgan","Québec,Montréal,Rimouski,Trois-Rivières","esprit sportif"
10,"Squeezy Lemons","St-Jean-sur-Richelieu",
11,"Chiefs","Montréal",
12,"Mad Ployes","Edmundston",
13,"Diskover","Trois-Rivières","esprit sportif"
14,"Mon équipe","Sherbrooke",
15,"Connect 4","Montréal,Sherbrooke",
16,"Squall","Baie des Chaleurs",
17,"Paix et Sérénité","Rimouski",
18,"Trick or Treat","Québec",
19,"Ta mère","Sherbrooke,Saguenay",
20,"Charrue","Gaspé","esprit sportif"
21,"Nordet","Rimouski",
22,"Match and mix","Sherbrooke,Montréal",
23,"Subasko","Baie des Chaleurs",
24,"Grues d’acajou","Saguenay",
25,"Melting Pot","Québec,Rimouski",
26,"Might and Magic","La Pocatière",
27,"Atomes crochus","Québec,Rimouski",
