1,Trillium Carnage,,
2,Quality Control,,
3,James Street Bulldogs,,
4,Quick and Dirty,,
5,ECU 23,,
6,TC 23,,
7,Connect4,,
8,G'S Pot,,
9,Qg,,
10,Max Power,,
11,Tribe,,
12,Evolve,,
13,Bolt,,
14,Arm & Hammer,,
15,Moving Castle,,
16,Benny and the Jets,,
17,Squeezlock,,
18,Pisse-Minute,,
19,LumberJacks,,
20,hamer time,,
21,Dynamite,,
22,Glenncellents,,
23,Weedeaters,,
24,Patriotes,,
25,Adios Pantalones,,
26,Lebœuf Saloon,,
27,Young guns,,
28,Gusto,,
29,Apocalypse,,
30,Swaggerwalk,,
31,4-Da-Win,,
32,Sony Discmans,,
33,Bons jacks,,
34,P'tits poulets,,
35,Sasquatch!,,
36,Sangria Ultimate Club,,
37,Mohicans,,"esprit sportif"
38,Thunderstruck,,
39,Tourista,,
40,Club des Musclés,,
41,Tire-bouchon,,
42,Bangarang,,
43,Satyres,,
44,Farfadets,,
45,LSD,,
46,Lumineurs,,
47,Flickatibis,,
48,Leftovers,,
