1,Les Outs,,
2,NinjaX,,"esprit sportif"
3,Louis Luncheonette,,
4,Sugar Mommies,,
5,Rebellion,,
6,Trillium Carnage,,
7,La Vallée des Licornes,,
8,Squeezy Lemon,,
9,UltiBattleDisc l'équipe d'Ultimate Récréatif ,,
10,CHAINSAW,,
11,Quality Control,,
12,Douze singes,,
13,Le Qg,,
14,KGB,,
15,9h50,,
16,Disklock,,
17,Les Grosses,,
18,Plan B,,
19,Marianne,,
20,Piggy Pogo Hippo,,
21,Commando,,
22,Les Chiefs,,
23,Quarks,,
24,hamer time,,
25,EvolvE,,
26,VTM,,
27,Gusto,,
28,Mockingbirds,,
29,Light Weight,,
30,Bolt,,
31,Glenncellents,,
32,Dynamite,,
33,Connect4,,
34,Weedeaters,,
35,BAZOOKA,,
36,Martine joue au frisbee,,
37,L'équipe Pick-Up,,
38,Carl Carmoni,,
39,Pirhanas,,
40,Les Patriotes,,
41,The Astronauts,,
42,Jackalopes,,"esprit sportif"
43,FrisBeenomiale,,
44,LumberJacks,,
45,Hurakan,,
46,4-Da-Win,,
47,Arm & Hammer,,
48,Quidam,,
49,Battleship,,
50,Les Sony Discmans,,
51,Swaggerwalk,,
52,Thunderstruck,,
53,Pisse-Minute,,
54,Apocalypse,,
55,La Tourista,,
56,Sasquatch!,,
57,Les Farfadets,,"esprit sportif"
58,Sangria Ultimate Club,,
59,Les p'tits poulets,,
60,Nordisques,,
61,Les oeufs poachés,,
62,kamikaze,,
63,El Gros Club,,
64,les coquins,,
